Supplier,Website,Email,Framework,Borough,Councils Named,Council Access Basis,Companies House No,Notice ID,Awarded Date,Contact Status,Notes,Check
Care By Us Ltd,http://www.carebyus.com/,enquiries@carebyus.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
CareTech Community Services Limited,https://www.caretech-uk.com,info@caretech-uk.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Chiltern Support & Housing Limited,https://chilternsupport.com/,mail@chilternsupport.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Choice Support,https://www.choicesupport.org.uk,info@choicesupport.org.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Community Integrated Care,https://www.c-i-c.co.uk,information@c-i-c.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",02225727,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
COMPASSION PLUS HEALTH CARE LIMITED,http://www.compassionpluscare.com/,info@compassionpluscare.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),,Homecare provider that also offers supported living/accommodation
Compassionate Care and support limited,https://www.group-ccg.co.uk/,hello@group-ccg.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (medium),"COMPASSIONATE CARE & SUPPORT LTD CH 09325578, Castle Hill Court, Ashley WA15 0RE (named in the HCC award). Compassionate Care Group site; contact page lists WA15 0RE. compassionatecaregroup.co.uk redirects here. Existing compassioncare.org.uk is an unrelated Nottingham provider.; Supported living contract over £10m - includes housing","homecare and housing both on homepage (homecare 4, housing 10)"
DandilionUK Limited,https://www.dandelionuk.co.uk/,info@dandelionuk.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (medium),"Name misspelt in input: DANDELIONUK LIMITED CH 15256517, 28 High Road N2 9PJ - matches site and CQC. LD/autism/MH supported living. Existing dandelionstudioni.com was wrong.; Supported living contract over £10m - includes housing",
Dimensions (UK) Ltd,https://dimensions-uk.org/,enquiries@dimensions-uk.org,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Eamal LTD,https://athomecare.co.uk/,admin@athomecare.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (high),"EAMAL LTD CH 10306317 trades as 'At Home Care' (sponsor register: Eamal LTD t/a At Home Care); same address Enterprise House, Maxted Road, Hemel Hempstead HP2 7BT as site.",Homecare provider that also offers supported living/accommodation
Eastview Healthcare Services Ltd,https://www.eastviewhealthcare.com/,contact@eastviewhealthcare.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (medium),"CH 09517323 (active), Kettering NN15 6FD + Milton Keynes office; supported living/homecare. Email decoded from Cloudflare-protected link on contact page. Exact name match; Hertfordshire operations not confirmed on site.; Supported living contract over £10m - includes housing","homecare and housing both on homepage (homecare 13, housing 7)"
Exceptional care at home limited,http://www.exceptionalcareathome.co.uk/,info@exceptionalcareathome.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),,Homecare provider that also offers supported living/accommodation
Exclusive Care,https://www.exclusivecare.org.uk/,enquiries@exclusivecare.org.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (high),"EXCLUSIVE CARE LIMITED CH 07893331, 10 Nimrod Drive, Hatfield AL10 9LS - matches site. Herts residential/supported living. Existing careclusive.co.uk is not this provider (no Herts address).; Supported living contract over £10m - includes housing",
First Choice Medical Solutions Ltd,https://firstchoicemedicalsolutions.co.uk/,info@firstchoicemedicalsolutions.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),,Homecare provider that also offers supported living/accommodation
Fortis Care Limited,http://www.fortiscare.co.uk/,contact@fortiscare.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Hand in Hands,http://www.handinhands.co.uk/,info@handinhands.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Harpenden Mencap,http://www.harpendenmencap.org.uk/,office@harpendenmencap.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Joy Caring Services Limited,https://joycaringservices.co.uk/,info@joycaringservices.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (high),"CH 08771215 (active, Stevenage). Office Mindenhall Court, Stevenage Old Town SG1 3BG.; Supported living contract over £10m - includes housing","homecare and housing both on homepage (homecare 11, housing 6)"
JURICHEZ   LIMITED,https://jc-care.co.uk/,info@jc-care.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (high),"JURICHEZ LIMITED CH 07609967, Studio House, Cheshunt EN8 9SH; site titled 'JC Care (The Trading Name of Jurichez)'. Existing values confirmed.",Homecare provider that also offers supported living/accommodation
Keys PCE Limited,http://www.keys-group.co.uk/,info@keys-group.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
KisharonLangdon,http://kisharonlangdon.org.uk/,info@kisharonlangdon.org.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Knightingles Healthcare Ltd,http://knightingleshealthcare.com/,info@knightingleshealthcare.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 13, housing 18)"
Leonard Cheshire Disability,https://www.leonardcheshire.org/,info@leonardcheshire.org,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
MacIntyre,https://www.macintyrecharity.org,hello@macintyrecharity.org,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
Metropolitan Housing Trust,https://www.metropolitan.org.uk,customerservices@metropolitan.org.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
MidCo Care Limited,http://www.midco-care.co.uk/,info@midco-care.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 12, housing 18)"
Nwando Care,https://www.nwandocare.co.uk/,info@nwandocare.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,"homecare and housing both on homepage (homecare 9, housing 8)"
onecare,http://www.onecare-uk.com/,info@onecare-uk.com,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),,Homecare provider that also offers supported living/accommodation
OZUMBA TRAINING AND CONSULTANCY SERVICES LIMITED Trading as EMIN,https://www.eminentcare.co.uk/,info@eminentdomcare.co.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,web research (high),"Primacura is NOT this company: primacuratraining.co.uk is a Manchester first-aid/social care training firm (Glen Avenue, M9 4EE), removed. eminentcare.co.uk footer states 'OZUMBA TRAINING AND CONSULTANCY SERVICES LIMITED t/a Eminent Care Agency', company number 09499399 (matches Companies House: active, Challenge House, 616 Mitcham Road, Croydon CR0 3AA). Email domain differs from website domain (eminentdomcare.co.uk) but is the address published on the site.",Homecare provider that also offers supported living/accommodation
Partners in Support,http://www.partnersinsupport.org.uk/,info@partnersinsupport.org.uk,HCC 02/24 - The Provision of Supported Living Services in Hertfordshire,Hertfordshire County Council,Hertfordshire County Council,"The FTS tender notice 2024/S 000-005478 and award 2025/S 000-003646 each list only Hertfordshire County Council as buyer (plus the High Court as review body), as does CF notice d6f76482 (£187m, 3 Feb 2025 - 2 Feb 2029). No other contracting authorities, participating bodies or permitted users are named. Hertfordshire and West Essex ICB is not named; the ICB itself ceased on 31 Mar 2026. 'Barnet' appears only as a supplier's address (Brunswick Supported Living Services), not as a participating authority. The notices say the framework is for 'Supported Living Services in Hertfordshire'. The procurement documents (In-Tend, supply Hertfordshire) were not publicly accessible, so a named-user clause there cannot be ruled out.",,IT-285-8247-HCC2314888 - AWARD,31/01/2025,verified (existing data),Supported living contract over £10m - includes housing,
