name,current_website,current_phone,current_email,current_address,contracts,scope,status,step1_url_owner,step2_real_url,step3_services,step4_email,step4_phone,step4_contact,verdict,notes
British Red Cross Society,https://www.redcross.org.uk/shop/find-a-charity-shop/bangor-co-down,+44 28 9127 1135,bangorcodownshop@redcross.org.uk,,2,Local,pending,,,,,,,,
Bromford Housing Association Ltd Trading As Bromford Support,http://www.bromford.co.uk/,+44 330 123 4034,myplace@bromford.co.uk,,1,Local,pending,,,,,,,,
Budwood Limited,https://www.budwood.org.uk/,,office@budwood.org.uk,,1,Local,pending,,,,,,,,
Building Circles in Gloucestershire,http://buildingcirclesglos.org.uk/,+44 1453 568155,,,1,Local,pending,,,,,,,,
Byker Bridge Housing and Support,https://www.tynehousing.org.uk/what-we-do/housing/bykerbridgehub/,+44 191 265 8621,bbh@tynehousing.org.uk,,1,Local,pending,,,,,,,,
Byrne House,http://www.byrnehomes.co.uk/,+44 1392 661000,info@byrnehomes.co.uk,,1,Local,pending,,,,,,,,
C K P Ltd,http://www.ckpdesign.co.uk/,+44 1625 928156,enquiries@ckpdesign.co.uk,,1,Local,pending,,,,,,,,
C We R Here CIC,https://www.cwerhere.co.uk/,,,,1,Local,pending,,,,,,,,
C We R Here Complex Care,https://www.cwerhere.co.uk/complex-care/,+44 1294 608222,,,1,Local,pending,,,,,,,,
Camphill Milton Keynes Communities Limited,http://camphillmk.co.uk/,+44 1908 235000,office@camphillmk.co.uk,,1,Local,pending,,,,,,,,
CF Support Services Limited,http://www.cfservices.co.uk/,+44 1355 576690,enquiries@cfservices.co.uk,,1,Local,pending,,,,,,,,
Cityshapers Ltd,http://cityshapers.co.uk/,+44 7300 451832,info@cityshapers.co.uk,,2,Local,pending,,,,,,,,
Clc Contractors Limited,http://www.clcgroup.com/,+44 1922 620711,brandon@clcgroup.com,,1,Local,pending,,,,,,,,
CM Supported Living Services LTD,https://cmcare.net/,+44 20 8672 2772,,,6,Regional,pending,,,,,,,,
Community Homes of Intensive Care & Education Limited,https://www.choicecaregroup.com/accessing-support/about-us/,+44 1671 404600,familysupport@choicecaregroup.com,,2,Local,pending,,,,,,,,
Contract Not Awarded,http://www.cwcontractlawandlegal.co.uk/,+44 333 121 0161,,,1,Local,pending,,,,,,,,
CSM Independence Ltd,https://www.csmindependence.co.uk/,+44 1404 234612,info@csmindependence.co.uk,,1,Local,pending,,,,,,,,
CTRC Community Interest Company,https://www.ctrcservices.com/,+44 1895 440831,,,1,Local,pending,,,,,,,,
Cxk Limited,https://www.cxk.org/,+44 1233 224244,info@cxk.org,,1,Local,pending,,,,,,,,
Calico,https://calico.org.uk/,01282 686300,info@calicohousing.co.uk,,1,Local,pending,,,,,,,,
Calico Enterprise,http://www.calicoenterprise.org.uk/,+44 1282 686735,contact@calico.org.uk,,1,Local,pending,,,,,,,,
Campbell Tickell Ltd,https://www.campbelltickell.com/,+44 20 8830 6777,info@campbelltickell.com,,1,Local,pending,,,,,,,,
Cannon Children Services Ltd,https://canonshouse.co.uk/,+44 1380 722359,,,2,Local,pending,,,,,,,,
Care & Community Ltd,http://www.communitycareworker.com/,+44 1782 355016,info@communitycareworker.com,,1,Local,pending,,,,,,,,
Care Choice NW,https://beechcroftcarehomes.co.uk/our-homes/choice-care-home,+44 1803 403026,,,1,Local,pending,,,,,,,,
Care MK Ltd,http://mkcare.co.uk/contact-us,+44 1908 596113,info@mkcare.co.uk,,1,Local,pending,,,,,,,,
Care Precious Ltd T/A Caremark East Riding,https://www.caremark.co.uk/hull-and-east-riding/,+44 1482 579579,redcar@caremark.co.uk,,2,Local,pending,,,,,,,,
Care R Us Ltd T/A Krossroads,http://www.crossroadscare.co.uk/,+44 121 553 6483,info@crossroads-caringforcarers.org,,2,Regional,pending,,,,,,,,
Care Success Solutions Ltd,https://www.springsuccess.co.uk/,+44 1206 239198,info@springsuccess.co.uk,,6,Regional,pending,,,,,,,,
Care Tech,http://caretechltd.co.uk/,+44 1268 775585,,,1,Local,pending,,,,,,,,
Care World Wide (London) Ltd,https://worldcareservicesltd.com/,+44 20 3642 8444,info@worldcareservicesltd.com,,1,Local,pending,,,,,,,,
Care first,https://www.carefirst.co.uk/,+44 1452 623200,colchester@carefirst.co.uk,,1,Local,pending,,,,,,,,
Care for Me Housing,http://careformehousing.co.uk/,+44 121 792 6917,info@careformehousing.co.uk,,1,Local,pending,,,,,,,,
Care for Me Housing and Support LLP,http://www.careformehousing.co.uk/,+44 300 323 0700,info@wecr.org.uk,,1,Local,pending,,,,,,,,
Care4LifeHealthcare Services Ltd,https://www.care4lifehealthcare.co.uk/,+44 7399 750167,admin@care4lifehealthcare.co.uk,,2,Local,pending,,,,,,,,
Care4life Healthcare Service,https://www.care4lifehealthcare.co.uk/,,admin@care4lifehealthcare.co.uk,,1,Local,pending,,,,,,,,
Caremark Limited,https://www.caremark.co.uk/locations/central-bedfordshire,+44 1582 965545,redcar@caremark.co.uk,,2,Local,pending,,,,,,,,
Caremark (Chichester),http://www.caremark.co.uk/chichester/,+44 1243 217060,redcar@caremark.co.uk,,2,Local,pending,,,,,,,,
Caridon property,http://www.caridonproperty.co.uk/,+44 20 3307 0555,info@caridonproperty.co.uk,,1,Local,pending,,,,,,,,
Caritas Care Ltd,http://www.caritascaresolutions.uk/,+44 1482 963150,info@caritascaresolutions.uk,,1,Local,pending,,,,,,,,
Caritas Diocese of Salford,https://www.caritassalford.org.uk/,+44 161 817 2250,info@caritassalford.org.uk,,1,Local,pending,,,,,,,,
Caritas Services Ltd,http://caritasservices.com/,+44 1625 531628,,,2,Regional,pending,,,,,,,,
Carriers Of Hope Coventry,http://www.carriersofhope.org.uk/,+44 24 7666 7008,info@carriersofhope.org.uk,,1,Local,pending,,,,,,,,
Castle Supported Living Ltd,https://castlesupportedliving.co.uk/,+44 1200 429990,enquiries@castlesupportedliving.co.uk,,1,Local,pending,,,,,,,,
Catch22 Charity Limited,http://www.catch-22.org.uk/,+44 20 7336 4800,info@catch-22.org.uk,,6,Regional,pending,,,,,,,,
Causeway Irish,https://www.irishcauseway.org.uk/,,,,1,Local,pending,,,,,,,,
Causeway Irish Housing Association,http://www.irishcauseway.org.uk/,+44 20 8365 1751,,,1,Local,pending,,,,,,,,
Centra Care and Support,http://care-central.org.uk/,+44 20 8223 0100,enquiries@care-central.org.uk,,1,Local,pending,,,,,,,,
Central England Law Centre,http://www.centralenglandlc.org.uk/,+44 24 7622 3053,enquiries@centralenglandlc.org.uk,,1,Local,pending,,,,,,,,
Central and Southern Homes,https://www.wainhomes.co.uk/,+44 1392 448900,,,1,Local,pending,,,,,,,,
Centre 404,http://www.centre404.org.uk/,+44 20 7607 8762,general@centre404.org.uk,,1,Local,pending,,,,,,,,
Centrepoint Soho (Lot 1 - Assessment and Progress Service Male O,https://centrepoint.org.uk/,+44 845 466 3400,supportercare@centrepoint.org,,1,Local,pending,,,,,,,,
Centrepoint Soho (Lot 3 - Progress Service Medium to High Suppor,https://centrepoint.org.uk/,+44 800 587 5158,supportercare@centrepoint.org,,1,Local,pending,,,,,,,,
Centrepoint Soho (Lot 7 - Move Through Service),https://centrepoint.org.uk/node/1,+44 20 7423 6805,,,1,Local,pending,,,,,,,,
Certitude (Southside Partnership),https://www.certitude.london/,+44 20 8772 6222,,,1,Local,pending,,,,,,,,
Certitude Support,https://www.certitude.london/,+44 20 3397 3033,,,1,Local,pending,,,,,,,,
Chailey Heritage Foundation,http://www.chf.org.uk/,+44 1825 724444,fduff@chf.org.uk,,2,Local,pending,,,,,,,,
"Change, Grow, Live Services Limited",https://www.changegrowlive.org/,,,,1,Local,pending,,,,,,,,
Changing Lives & TCUK Homes Ltd,https://changingliveshousingtrust.org/contact-us,+44 20 3343 4101,,,1,Local,pending,,,,,,,,
Changing Lives Consortium,http://www.communitylives.co.uk/,+44 1792 646640,,,1,Local,pending,,,,,,,,
Changing Lives in Cheshire,https://www.changing-lives-together.org.uk/the-very-green-grocery,+44 1606 827121,,,1,Local,pending,,,,,,,,
Cheery Blossom,https://www.cherryblossomcare.co.uk/,+44 7398 064928,,,1,Local,pending,,,,,,,,
Cheery Blossom Supported Living Ltd,http://cheeryblossomsl.co.uk/,+44 333 242 0648,info@cheeryblossomsl.co.uk,,1,Local,pending,,,,,,,,
Chesterfield and District Society for People with a Disability (,https://abilitycare.org.uk/?utm_source=googlemaps,+44 1246 455927,enquiries@abilitycare.org.uk,,1,Local,pending,,,,,,,,
Choice Care Group Limited,https://www.choicecaregroup.com/,+44 20 3195 0151,familysupport@choicecaregroup.com,,3,Local,pending,,,,,,,,
Christian Action (Enfield) Housing Association Ltd,https://www.christianaction.org.uk/,+44 1992 765900,,,1,Local,pending,,,,,,,,
Christian Concern,https://www.christianconcern.com/,+44 20 3327 1120,,,1,Local,pending,,,,,,,,
Circle Support (registered as Circle Care and Support Ltd),http://familycirclesservices.co.uk/,+44 1395 222757,info@familycirclesservices.co.uk,,1,Local,pending,,,,,,,,
City of Exeter YMCA Housing Association,http://ymcaexeter.org.uk/,+44 1392 410530,office@ymcaexeter.org.uk,,1,Local,pending,,,,,,,,
Clay Housing Ltd,https://clay-life.com/,,hello@clay-life.com,,1,Local,pending,,,,,,,,
Clearsprings Ready Homes,https://www.clearsprings.co.uk,01279 730900,enquiries@clearsprings.co.uk,,4,Local,pending,,,,,,,,
Clifford House Fostering Ltd,https://www.cliffordhousefostering.com/,+44 1527 559366,,,2,Local,pending,,,,,,,,
Coastal Key Housing,http://coastalkeyhousing.co.uk/,+44 1253 975894,,,1,Local,pending,,,,,,,,
Commit2Care Services Ltd (CQC Registered Non Enhanced and Enhanc,http://commit2careservices.co.uk/,,,,1,Local,pending,,,,,,,,
Community CAmpus 87 (Cleevland) Ltd,http://www.communitycampus87.com/,+44 1642 247209,,,1,Local,pending,,,,,,,,
Community Campus 87 ltd,http://www.communitycampus87.com/,+44 1642 355618,,,1,Local,pending,,,,,,,,
Community Homes of Intensive Care and Education (CHOICE) Limited,https://www.choicecaregroup.com/accessing-support/about-us/,,familysupport@choicecaregroup.com,,1,Local,pending,,,,,,,,
Community Indepentent Living,http://c-i-living.co.uk/,+44 7944 655180,info@c-i-living.co.uk,,1,Local,pending,,,,,,,,
Community Integrated Care (CQC Registered Non Enhanced and Enhan,https://www.communityintegratedcare.co.uk/about-us/where-we-work-locations/england/north-west/,+44 151 230 4490,,,1,Local,pending,,,,,,,,
Community Solutions UK Ltd (TRADING AS TRIO SUPPORTED LIVING),http://www.triosupportedliving.com/,+44 1908 968631,,,1,Local,pending,,,,,,,,
Compact Personnel Ltd,https://compactpersonnel.co.uk/,+44 161 478 5814,info@compactpersonnel.co.uk,,1,Local,pending,,,,,,,,
Concept Housing Association CIC,https://www.concepthousing.co.uk/,+44 121 455 7333,info@concepthousing.co.uk,,1,Local,pending,,,,,,,,
Connection Support.,https://www.connectionsupport.org.uk/,+44 1865 711267,enquiries@connectionsupport.org.uk,,2,Local,pending,,,,,,,,
Connex Community Support (CQC Registered Non Enhanced and Enhanc,http://www.connex.org.uk/,+44 1298 23970,admin@connex.org.uk,,1,Local,pending,,,,,,,,
Connolly and Callaghan,http://www.connollyandcallaghan.co.uk/,+44 117 942 0100,,,1,Local,pending,,,,,,,,
Continuum Support - Care Services Ltd,http://thecontinuumgroup.org/,+44 7401 550090,,,1,Local,pending,,,,,,,,
Contract not awarded see publication details,https://www.dcicontracts.com/,+44 845 270 7092,helpdesk@dcicontracts.com,,1,Local,pending,,,,,,,,
Copper Beach,https://copper-beech.inn.fan/,,,,1,Local,pending,,,,,,,,
Cordis Bright,https://www.cordisbright.co.uk/,+44 20 7330 9170,info@cordisbright.co.uk,,1,Local,pending,,,,,,,,
Core Assets Children's Services,https://www.polarischildrensservices.co.uk/,+44 800 622 6114,contactus@polarischildrensservices.co.uk,,2,Local,pending,,,,,,,,
Cosgarne Hall Limited,https://www.harbourhousing.com/,+44 1726 74186,info@harbourhousing.com,,1,Local,pending,,,,,,,,
Craegmoor Priory Group,https://www.priorygroup.com/,+44 1303 256516,,,1,Local,pending,,,,,,,,
Craegmoor Supporting You Ltd (Priory Adult Care Group),https://www.priorygroup.com/locations/residential/gateholme?utm_source=google_my_business&utm_medium=organic&utm_campaign=residential&utm_content=priory-gateholme,+44 121 730 4560,,,1,Local,pending,,,,,,,,
Creative Care (East Midlands) Ltd,http://www.creativecare.org.uk/,+44 1623 392555,,,1,Local,pending,,,,,,,,
Creative Inclusion,https://creative-inclusion.org/,+44 7805 574152,support@creative-inclusion.org,,1,Local,pending,,,,,,,,
Creative Solutions Ltd.,https://www.creative-solutions-direct.co.uk/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,+44 1297 630130,jc315581158@gmail.com,,1,Local,pending,,,,,,,,
Creative Support (CQC Registered Non Enhanced and Enhanced),http://www.creativesupport.co.uk/,+44 1952 506105,enquiries@creativesupport.co.uk,,1,Local,pending,,,,,,,,
Creative Support Solutions Limited,https://www.creativesupportsolutions.co.uk/,+44 1245 467596,,,1,Local,pending,,,,,,,,
Cromwood Ltd,http://www.cromwood.co.uk/,+44 20 8826 2800,,,2,Local,pending,,,,,,,,
Crystal Care Solutions Ltd,https://crystalcaresolutions.co.uk/,+44 1782 777511,info@crystalcaresolutions.co.uk,,1,Local,pending,,,,,,,,
Custodian Group Ltd,https://thecustodian.uk/,,info@thecustodian.uk,,1,Local,pending,,,,,,,,
Cygnet Health Care PLC (CQC Registered Non Enhanced and Enhanced,https://www.cygnetgroup.com/locations/cygnet-hospital-hexham/,+44 1434 408660,,,1,Local,pending,,,,,,,,
DALJJI Care Limited,https://dalchihealthcare.co.uk/,+44 1332 742613,info@dalchihealthcare.co.uk,,2,Local,pending,,,,,,,,
DCI Care ltd,https://dcicare.co.uk/,+44 1803 311045,,,1,Local,pending,,,,,,,,
DFD Care and Support Services Ltd,https://dfdcareservices.co.uk/,+44 7851 210160,infor@dfdcareservices.co.uk,,2,Local,pending,,,,,,,,
Dace Property Ltd,https://wdbproperty.co.uk/,,mail@wdbproperty.co.uk,,1,Local,pending,,,,,,,,
Daisy Healthcare,https://thedaisyfoundation.com/teacher/gayna-deas/,+44 7736 625300,,,1,Local,pending,,,,,,,,
Daley Bread,https://dalybread.co.uk/,+44 7871 320944,infodaleybread@yahoo.co.uk,,1,Local,pending,,,,,,,,
Dean House Care Ltd,https://deanhouseresidential.co.uk/,+44 1803 313117,,,1,Local,pending,,,,,,,,
Defining Futures Ltd,http://futuresens.co.uk/,+44 141 280 3750,sales@futuresens.co.uk,,2,Local,pending,,,,,,,,
Depaul UK (Lot 6 - Specialist Mental Health Complex Needs Servic,https://www.depaul.org.uk/,+44 20 7939 1220,depaul@depaulcharity.org.uk,,1,Local,pending,,,,,,,,
Designz Ltd,https://www.designhealthcare.co.uk/,+44 23 8212 0212,info@dezign-ideaz.com,,1,Local,pending,,,,,,,,
Deuvick,https://deuvickintl.com/our-homes/,,,,1,Local,pending,,,,,,,,
Diagrama Healthcare Services Ltd,https://diagramafoundation.org.uk/senior-dementia-care/edensorcarehomeclacton,+44 1255 423317,,,1,Local,pending,,,,,,,,
Dimensions Somerset SEV Limited,https://dimensions-uk.org/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=Google+My+Business,+44 300 303 9013,enquiries@dimensions-uk.org,,2,Local,pending,,,,,,,,
Diverse Abilities,http://diverseabilities.org.uk/,+44 1202 718266,info@diverseabilities.org.uk,,2,Local,pending,,,,,,,,
Divine Comfort Care and Services Limited,https://divinecomfortcareservices.co.uk/,+44 7448 154724,info@divinecomfortcareservices.co.uk,,1,Local,pending,,,,,,,,
Dream Big Independent Living Ltd,http://ltdlivingthedream.co.uk/,+44 20 3951 1249,contactus@ltd247.uk,,1,Local,pending,,,,,,,,
Dreamers Global Ltd,https://www.dreamerslb.com/,+44 7853 753607,info@dreamerslb.com,,1,Local,pending,,,,,,,,
Dunborne Ltd,https://www.dunborne.co.uk/,,,,1,Local,pending,,,,,,,,
Dunfield and Mead Ltd.,https://dunfieldandmead.co.uk/,+44 20 8665 4236,,,1,Local,pending,,,,,,,,
Dunnis Limited,https://www.dunnis.co.uk/,+44 1642 456336,info@dunnis.co.uk,,1,Local,pending,,,,,,,,
Dynamic Care ltd,https://dynamiccareservices.com/,+44 7538 632553,info@dynamiccareservices.com,,1,Local,pending,,,,,,,,
Dynamis Enterprises Ltd,https://dynamiseducation.co.uk/,+44 800 024 2443,,,1,Local,pending,,,,,,,,
E S Rudkin Ltd,http://www.esrudkin.co.uk/,+44 1472 879102,admin@esrudkin.co.uk,,1,Local,pending,,,,,,,,
ECHO for Extra Choices in Herefordshire Ltd,http://www.echoherefordshire.org.uk/,+44 1568 620307,echo.info@echoherefordshire.co.uk,,1,Local,pending,,,,,,,,
EMH Care and Support Limited (CQC Registered Non Enhanced and En,http://www.emhcareandsupport.org.uk/,+44 1246 599999,,,1,Local,pending,,,,,,,,
EMH Housing and Regeneration Limited (Enable Care and Home Suppo,https://www.emh.co.uk/,+44 300 123 6000,pritti.allen@emh.co.uk,,6,Regional,pending,,,,,,,,
East Durham Community Initiatives Ltd,,+44 191 581 9499,enquiries@charitychoice.co.uk,,1,Local,pending,,,,,,,,
Ebor Lodge,https://www.eborlodge.com/,+44 1323 640792,,,1,Local,pending,,,,,,,,
Eclipse Properties Limited,http://www.eclipseproperties.org/,+44 1902 213383,compliance@eclipseproperties.org,,3,Local,pending,,,,,,,,
Eden Care Ltd,https://edencareservicesltd.co.uk/contact/,+44 1625 668990,,,1,Local,pending,,,,,,,,
Eden Futures (CQC Registered Non Enhanced and Enhanced),http://www.edenfutures.org/,+44 330 024 0039,info@edenfutures.org,,1,Local,pending,,,,,,,,
Eden Holme Care Ltd,https://www.langdalecarehomes.co.uk/,+44 1246 231191,,,1,Local,pending,,,,,,,,
Edge View Homes Limited,https://www.dudleycvs.org.uk/job-opportunities-with-edgeview-homes-ltd/,+44 1384 872804,info@dudleycvs.org.uk,,1,Local,pending,,,,,,,,
Elite Housing & Support Ltd,https://www.elitehousingandsupport.co.uk/,+44 20 3876 7600,info@elitehousingandsupport.co.uk,,1,Local,pending,,,,,,,,
Elite Property Group Ltd,http://www.elitelettingsandpropertymanagement.co.uk/,+44 1388 433640,info@elitelettingsandpropertymanagement.co.uk,,1,Local,pending,,,,,,,,
Elite Support Provider's,https://www.connecttosupportsurrey.org.uk/search-results/services/?id=7fcc1711-8715-4d9a-8cb3-b07e00c9b278,+44 7901 660895,info@connecttosupportsurrey.org.uk,,1,Local,pending,,,,,,,,
Elmore Community Services,http://www.elmorecommunityservices.org.uk/,+44 1865 200130,info@elmorecommunityservices.org.uk,,1,Local,pending,,,,,,,,
Elysian Field,https://elysian-field.co.uk,0121 607 1946,hello@elysian-field.co.uk,,4,Regional,pending,,,,,,,,
Empanda Care and Support Ltd CIC,http://www.empanda.org.uk/services/young-people/cromer/,+44 1263 513780,info@empanda.org.uk,,1,Local,pending,,,,,,,,
Encompass,http://www.encompasstraining.co.uk/,+44 1805 603003,mail@encompasstraining.co.uk,,1,Local,pending,,,,,,,,
Encounter Live in Care,http://encounterlivein.co.uk/,+44 7950 863610,,,1,Local,pending,,,,,,,,
Enham Trust,https://www.enhamtrust.org.uk/,+44 1264 345800,info@enhamtrust.org.uk,,1,Local,pending,,,,,,,,
Everyday Living Care,https://everydaylivingcare.co.uk/,+44 1386 765292,,,1,Local,pending,,,,,,,,
Evoke 24,https://24evoke.co.uk/,+44 330 133 2423,,,1,Local,pending,,,,,,,,
Evolve Housing + Support,https://www.evolvehousing.org.uk/,+44 20 7501 9795,enquiries@evolvehousing.org.uk,,1,Local,pending,,,,,,,,
Exclusive Housing Solutions Limited,http://exclusivehousing.co.uk/,+44 24 7697 0010,services@exclusivehousing.co.uk,,1,Local,pending,,,,,,,,
ExeChanges Limited,https://www.exechanges.co.uk/,,info@exechanges.co.uk,,1,Local,pending,,,,,,,,
Exemplar Health Care Ltd,https://www.exemplarhc.com/,+44 1709 565700,enquiries@exemplarhc.com,,1,Local,pending,,,,,,,,
Explore Independence Ltd,http://exploreindependenceltd.com/,+44 20 7998 0930,,,1,Local,pending,,,,,,,,
F & J Consults T/A Greenbridge 16+,http://greenbridge16plus.com/,+44 1634 571099,admin@greenbridge16plus.com,,1,Local,pending,,,,,,,,
F R Townsend & Co Ltd,https://www.townsend-ltd.co.uk/,+44 1472 349211,enquiries@townsend-ltd.co.uk,,1,Local,pending,,,,,,,,
Fdr Social Care Ltd,http://fdr-services.co.uk/,+44 7393 585427,,,1,Local,pending,,,,,,,,
Foleshill Women's Training Ltd,http://www.fwt.org.uk/,+44 24 7663 7693,info@fwt.org.uk,,1,Local,pending,,,,,,,,
FRC Group,http://www.frcgroup.co.uk/,+44 151 702 0550,info@frcgroup.co.uk,,1,Local,pending,,,,,,,,
FSIP Whiterose Ltd,http://fsipwhiterose.co.uk/,,info@okredo.lt,,1,Local,pending,,,,,,,,
Fairview Care and Support,http://www.fairviewcareandsupport.com/,+44 1744 414300,,,1,Local,pending,,,,,,,,
Fairways Care (UK) Limited,http://www.fairways.co/,+44 23 8023 0400,hello@fairways.co,,1,Local,pending,,,,,,,,
Faithful + Gould,https://www.gouldcare.co.uk/,+44 1372 753121,,,1,Local,pending,,,,,,,,
Falcon Carers Ltd,http://www.housingcare.org/housing-care/facility-info-158615-falcon-court-kingswood-england.aspx,+44 370 192 4000,,,1,Local,pending,,,,,,,,
Favour Health Ltd,http://www.favourhealth.co.uk/,+44 7877 679304,,,1,Local,pending,,,,,,,,
First Stop Housing / My Life Semi Independent Project,https://www.mylife.uk.net/,+44 800 622 6382,admin@mylife.uk.net,,1,Local,pending,,,,,,,,
FitzRoy Support (CQC Registered Non Enhanced and Enhanced),http://www.fitzroy.org/,+44 115 908 1560,,,1,Local,pending,,,,,,,,
Five Rivers Child Care Limited,https://five-rivers.org/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+44 1722 435750,placementsteam@five-rivers.org,,2,Local,pending,,,,,,,,
Florinee Homes Ltd,http://www.florineehomes.co.uk/,,,,2,Local,pending,,,,,,,,
Focus Futures UK,http://www.tffn.co.uk/,+44 20 8597 4637,info@tffn.co.uk,,1,Local,pending,,,,,,,,
Fona Godema Limited,http://fonagodema.com/,+44 7778 968654,,,1,Local,pending,,,,,,,,
Fonjock's Social Work Practice Limited T/A Fevaca,http://www.fevaca.co.uk/,+44 1284 764411,info@fevaca.co.uk,,1,Local,pending,,,,,,,,
Forevermore Care Group,http://www.forevermorecare.com/,+44 161 791 1863,,,1,Local,pending,,,,,,,,
Fortalice Ltd,https://fortalice.org.uk/,+44 1204 365677,info@fortalice.co.uk,,1,Local,pending,,,,,,,,
Fortis Care Limited,http://www.fortiscare.co.uk/,+44 20 8445 8885,contact@fortiscare.co.uk,,4,Regional,pending,,,,,,,,
Foster Care Associates Ltd,https://www.thefca.co.uk/locations/leeds/?utm_source=gmb&utm_medium=seo&utm_campaign=orgainc_click,+44 113 307 1150,,,2,Local,pending,,,,,,,,
Foster Care Link Ltd,http://www.fostercarelink.com/,+44 20 8880 5387,info@fostercarelink.com,,2,Local,pending,,,,,,,,
Fostering People Limited,https://www.fosteringpeople.co.uk/,+44 800 077 8159,,,2,Local,pending,,,,,,,,
Fostering Solutions Ltd,https://www.nationalfosteringgroup.co.uk/fostering-solutions/,+44 151 733 1217,,,2,Local,pending,,,,,,,,
Fosterplus Limited,https://www.fosterplus.co.uk/offices/glasgow/,+44 141 889 8481,,,2,Local,pending,,,,,,,,
Framework Housing Asscoation,http://www.frameworkha.org/,+44 115 841 7711,complaints@frameworkha.org,,1,Local,pending,,,,,,,,
Francis House Ltd,https://www.francishouse.org.uk/francis-house-families-limited/,,dermot.murphy@francishouse.org.uk,,1,Local,pending,,,,,,,,
Freedom Centre Ltd,https://freedom-centre.co.uk/,+44 1246 202572,info@freedom-centre.co.uk,,1,Local,pending,,,,,,,,
Fremantle Trust,http://www.osjct.co.uk/,+44 1494 782596,admin@fremantletrust.org,,1,Local,pending,,,,,,,,
Freshstart Care Solutions Ltd,https://www.freshstartcaresolutions.com/,,,,1,Local,pending,,,,,,,,
Furnished Homes,http://furnishedhomes.org/,+44 1454 319573,sales@furnishedhomes.org,,1,Local,pending,,,,,,,,
Fusion Care (Leaving Care Department),https://www.fusion-care.co.uk/,+44 161 705 1505,team@fusion-care.co.uk,,1,Local,pending,,,,,,,,
Future Foundations Housing Group,http://www.futureshg.co.uk/,+44 300 456 2531,,,1,Local,pending,,,,,,,,
"Futures Advice, Skills and Employment Limited",https://www.futuresadvice.org/,+44 800 085 8520,hello@futuresadvice.org,,1,Local,pending,,,,,,,,
Futures Housing Group,http://www.hillcrest.org.uk/,+44 1382 200532,customerservice@hillcrest.org.uk,,1,Local,pending,,,,,,,,
Futures:hfd,https://www.futureshfd.co.uk/,+44 1432 278235,info@futureshfd.co.uk,,1,Local,pending,,,,,,,,
G O'Brien & Son's (NDC),http://www.wjobrien.co.uk/,+44 28 7181 0312,kieranobrien@wjobrien.co.uk,,1,Local,pending,,,,,,,,
GND Support Ltd,http://gndsupport.co.uk/,+44 7581 231760,info@gndsupport.co.uk,,1,Local,pending,,,,,,,,
GPM2 Design Ltd,http://www.gpm2.co.uk/,+44 1843 268010,,,1,Local,pending,,,,,,,,
GS Social Care Solutions Limited,http://www.gs-socialcare.co.uk/,+44 1254 877755,info@gs-socialcare.co.uk,,1,Local,pending,,,,,,,,
Gain Healthcare Ltd,http://gainhealthcare.co.uk/,+44 1869 934787,,,1,Local,pending,,,,,,,,
Genesis Living,https://genesisliving.co.uk,01926 882 211,info@genesisliving.co.uk,,3,Regional,pending,,,,,,,,
Gentle Hands Care Agency Ltd,http://www.gentlehandscareagency.co.uk/,+44 20 7998 6977,,,1,Local,pending,,,,,,,,
Glenelg Support Limited,http://www.glenelgsupport.co.uk/,+44 151 525 7893,enquiries@glenelgsupport.co.uk,,1,Local,pending,,,,,,,,
Glenholme Healthcare Group,https://www.glenholme.org.uk/holdingham-grange/,+44 1753 869777,reception@glenholme.org.uk,,2,Regional,pending,,,,,,,,
Glenman Corporation Ltd,http://glenman.co.uk/,+44 20 8996 8058,info@glenman.co.uk,,1,Local,pending,,,,,,,,
Gloucester Family Care,http://gloucesterfamilycare.co.uk/,+44 1452 596772,info@gloucesterfamilycare.co.uk,,1,Local,pending,,,,,,,,
Gloucestershire Health and Care NHS Foundation Trust,https://www.ghc.nhs.uk,0300 421 8100,ghccomms@ghc.nhs.uk,,1,Local,pending,,,,,,,,
Godfrey Barnes Care Ashby Limited,https://godfreycare.co.uk/,+44 1332 419150,info@godfreycare.co.uk,,1,Local,pending,,,,,,,,
Godfrey Barnes Care Ltd,https://godfreycare.co.uk/,,info@godfreycare.co.uk,,1,Local,pending,,,,,,,,
Godfrey Barnes Care Station Ltd,https://godfreycare.co.uk/,+44 1482 632209,info@leonardcheshire.org,,1,Local,pending,,,,,,,,
Godfrey Barnes Healthcare LLP,https://godfreycare.co.uk/,,info@godfreycare.co.uk,,1,Local,pending,,,,,,,,
Golden Lane Housing Limited,http://www.glh.org.uk/,+44 300 003 7007,enquiries@glh.org.uk,,1,Local,pending,,,,,,,,
Good 2 Go Care Services Limited,https://gocareservices.com/,+44 7471 089679,info@gocareservices.com,,1,Local,pending,,,,,,,,
Good News Nwk Ltd,http://goodnewsnwk.co.uk/,+44 7575 414455,,,2,Local,pending,,,,,,,,
Grace Eyre,http://www.grace-eyre.org/,+44 1273 201900,enquiries@grace-eyre.org,,2,Local,pending,,,,,,,,
Grace Live In Carers Ltd t/a Grace 247 Care,https://www.graceliveincarers.co.uk/,+44 7870 513925,info@graceliveincarers.co.uk,,1,Local,pending,,,,,,,,
